Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520
A1;plant_miRNA;L-Proline;1;2;0;2.271200061
A2;scrambled_miRNA;L-Proline;1;2;0;2.093600035
A3;control;L-Proline;1;2;0;2.321099997
A4;plant_miRNA;L-Proline;2;2;0;2.1329
A5;scrambled_miRNA;L-Proline;2;2;0;2.149500012
A6;control;L-Proline;2;2;0;2.302649975
A7;plant_miRNA;L-Proline;3;2;0;2.074199975
A8;scrambled_miRNA;L-Proline;3;2;0;2.15624994
B1;control;L-Proline;3;2;0;2.565799952
B2;plant_miRNA;L-Proline;4;2;0;1.761800051
B3;scrambled_miRNA;L-Proline;4;2;0;1.722750008
B4;control;L-Proline;4;2;0;1.923400044
B5;plant_miRNA;L-Proline;5;2;0;1.830549955
B6;scrambled_miRNA;L-Proline;5;2;0;1.852900028
B7;control;L-Proline;5;2;0;1.81795001
C1;plant_miRNA;L-Proline;1;2;12;1.836399972
C2;scrambled_miRNA;L-Proline;1;2;12;1.932099998
C3;control;L-Proline;1;2;12;1.937900007
C4;plant_miRNA;L-Proline;2;2;12;1.842900038
C5;scrambled_miRNA;L-Proline;2;2;12;1.792750001
C6;control;L-Proline;2;2;12;1.88530004
C7;plant_miRNA;L-Proline;3;2;12;1.828749955
C8;scrambled_miRNA;L-Proline;3;2;12;1.811450005
D1;control;L-Proline;3;2;12;2.173149943
D2;plant_miRNA;L-Proline;4;2;12;1.576649964
D3;scrambled_miRNA;L-Proline;4;2;12;1.566299975
D4;control;L-Proline;4;2;12;1.938549995
D5;plant_miRNA;L-Proline;5;2;12;1.767149985
D6;scrambled_miRNA;L-Proline;5;2;12;1.684149981
D7;control;L-Proline;5;2;12;2.14775002
E1;std;L-Proline;N.A.;0;2;0.0559
E2;std;L-Proline;N.A.;62.5;2;0.110450003
E3;std;L-Proline;N.A.;125;2;0.1778
E4;std;L-Proline;N.A.;250;2;0.328549996
E5;std;L-Proline;N.A.;500;2;0.71115002
E6;std;L-Proline;N.A.;1000;2;1.336099982
E7;std;L-Proline;N.A.;2000;2;2.101999998
E8;std;L-Proline;N.A.;4000;2;2.855350018
G1;plant_miRNA;L-Proline;1;2;18;0.801699996
G2;scrambled_miRNA;L-Proline;1;2;18;0.577800006
G3;control;L-Proline;1;2;18;1.706949949
G4;plant_miRNA;L-Proline;2;2;18;0.67840001
G5;scrambled_miRNA;L-Proline;2;2;18;0.662349999
G6;control;L-Proline;2;2;18;1.618749976
G7;plant_miRNA;L-Proline;3;2;18;0.795549989
G8;scrambled_miRNA;L-Proline;3;2;18;0.804350019
H1;control;L-Proline;3;2;18;2.571249962
H2;plant_miRNA;L-Proline;4;2;18;1.115199983
H3;scrambled_miRNA;L-Proline;4;2;18;1.017850012
H4;control;L-Proline;4;2;18;2.233649969
H5;plant_miRNA;L-Proline;5;2;18;1.171050012
H6;scrambled_miRNA;L-Proline;5;2;18;1.194000006
H7;control;L-Proline;5;2;18;2.437000036
A10;scrambled_miRNA;L-Proline;3;2;24;0.062549999
B10;plant_miRNA;L-Proline;3;2;24;0.051200001
C10;control;L-Proline;2;2;24;2.031099975
D10;scrambled_miRNA;L-Proline;2;2;24;0.045299999
E10;plant_miRNA;L-Proline;2;2;24;0.056850001
F10;control;L-Proline;1;2;24;1.947250068
G10;scrambled_miRNA;L-Proline;1;2;24;0.049899999
H10;plant_miRNA;L-Proline;1;2;24;0.0469
A11;control;L-Proline;5;2;24;2.768949986
B11;scrambled_miRNA;L-Proline;5;2;24;0.053550001
C11;plant_miRNA;L-Proline;5;2;24;0.048899999
D11;control;L-Proline;4;2;24;2.361449957
E11;scrambled_miRNA;L-Proline;4;2;24;0.058900001
F11;plant_miRNA;L-Proline;4;2;24;0.05205
G11;control;L-Proline;3;2;24;2.360249996
