"Treatment","Time","Pair","Well_ID.x","N_Source.x","miRNA","Dose..uM..x","OD_600","Dose.uM.","Well_ID.y","N_Source.y","Dose..uM..y","OD540","OD550","OD560","OD570","Predicted_AA_540","Treatment.2"
"miARNs de plantes",0,1,"B1","mix17AA","ath827",2,0.122599997,2,"A2","mix17_AA",2,0.428500012,0.496250004,0.582750022,0.662449986,12178.6922953575,"Plant miRNAs"
"miARNs de plantes",0,2,"A4","mix17AA","ath827",2,0.151099995,2,"A5","mix17_AA",2,0.395050004,0.458250001,0.536350012,0.609200001,10895.4928060286,"Plant miRNAs"
"miARNs de plantes",0,3,"B5","mix17AA","ath827",2,0.131999999,2,"A8","mix17_AA",2,0.378800005,0.438600004,0.512999982,0.582300007,10272.1150651804,"Plant miRNAs"
"miARNs de plantes",0,4,"D4","mix17AA","ath827",2,0.122199997,2,"B2","mix17_AA",2,0.394749999,0.456799999,0.534749985,0.607250005,10883.9841013731,"Plant miRNAs"
"miARNs de plantes",0,5,"D6","mix17AA","ath827",2,0.120300002,2,"B5","mix17_AA",2,0.381800011,0.442650005,0.517800003,0.588250011,10387.2004238202,"Plant miRNAs"
"miARNs de plantes",1,1,"B1","mix17AA","ath827",2,0.125,2,"C2","mix17_AA",2,0.382949993,0.444149986,0.521750003,0.594550014,10431.3156992227,"Plant miRNAs"
"miARNs de plantes",1,2,"A4","mix17AA","ath827",2,0.178800002,2,"C4","mix17_AA",2,0.36285001,0.420650005,0.493550003,0.561850011,9660.24599062593,"Plant miRNAs"
"miARNs de plantes",1,3,"B5","mix17AA","ath827",2,0.131200001,2,"C6","mix17_AA",2,0.384399995,0.446400002,0.522999972,0.595799983,10486.9402547064,"Plant miRNAs"
"miARNs de plantes",1,4,"D4","mix17AA","ath827",2,0.125400007,2,"C8","mix17_AA",2,0.376000002,0.436100006,0.512249991,0.583549976,10164.7021635237,"Plant miRNAs"
"miARNs de plantes",1,5,"D6","mix17AA","ath827",2,0.125100002,2,"C10","mix17_AA",2,0.423799992,0.490199998,0.575499982,0.655199975,11998.3914935211,"Plant miRNAs"
"miARNs de plantes",12,1,"B1","mix17AA","ath827",2,0.266499996,2,"F2","mix17_AA",2,0.276149988,0.318650007,0.371100008,0.419750005,6334.28493389894,"Plant miRNAs"
"miARNs de plantes",12,2,"A4","mix17AA","ath827",2,0.298700005,2,"F5","mix17_AA",2,0.25774999,0.296949998,0.344549999,0.38849999,5628.42955600925,"Plant miRNAs"
"miARNs de plantes",12,3,"B5","mix17AA","ath827",2,0.252000004,2,"F8","mix17_AA",2,0.259999998,0.29975,0.347749993,0.391599998,5714.74370925507,"Plant miRNAs"
"miARNs de plantes",12,4,"D4","mix17AA","ath827",2,0.26699999,2,"G2","mix17_AA",2,0.250100002,0.288000003,0.33600001,0.380800009,5334.96293875246,"Plant miRNAs"
"miARNs de plantes",12,5,"D6","mix17AA","ath827",2,0.273499995,2,"G5","mix17_AA",2,0.254349992,0.293150008,0.342350006,0.387800008,5497.9998204672,"Plant miRNAs"
"miARNs de plantes",4,1,"B1","mix17AA","ath827",2,0.250200003,2,"E2","mix17_AA",2,0.34799999,0.402449995,0.470499992,0.533399999,9090.57383746757,"Plant miRNAs"
"miARNs de plantes",4,2,"A4","mix17AA","ath827",2,0.287099987,2,"E4","mix17_AA",2,0.356600001,0.410850003,0.480250001,0.542750001,9420.48496105903,"Plant miRNAs"
"miARNs de plantes",4,3,"B5","mix17AA","ath827",2,0.232600003,2,"E6","mix17_AA",2,0.332300007,0.38485001,0.449699998,0.509450018,8488.2956506261,"Plant miRNAs"
"miARNs de plantes",4,4,"D4","mix17AA","ath827",2,0.223399997,2,"E8","mix17_AA",2,0.353049994,0.408800006,0.476349995,0.538949996,9284.30062383812,"Plant miRNAs"
"miARNs de plantes",4,5,"D6","mix17AA","ath827",2,0.216399997,2,"E10","mix17_AA",2,0.352450013,0.407399997,0.475500003,0.540000021,9261.28432701669,"Plant miRNAs"
"miARNs aléatoires",0,1,"B2","mix17AA","ath827",2,0.122299999,2,"A3","mix17_AA",2,0.318799995,0.368249997,0.431199998,0.487649992,11480.51,"Scramble miRNAs"
"miARNs aléatoires",0,2,"A3","mix17AA","ath827",2,0.143700004,2,"A6","mix17_AA",2,0.395549998,0.457450002,0.533899993,0.605100006,10914.6734306033,"Scramble miRNAs"
"miARNs aléatoires",0,3,"B6","mix17AA","ath827",2,0.114,2,"A9","mix17_AA",2,0.413300008,0.479299992,0.562099993,0.638799995,11595.5941576651,"Scramble miRNAs"
"miARNs aléatoires",0,4,"D3","mix17AA","ath827",2,0.117600001,2,"B3","mix17_AA",2,0.361550003,0.417850003,0.488399997,0.553649992,9610.37549975717,"Scramble miRNAs"
"miARNs aléatoires",0,5,"D5","mix17AA","ath827",2,0.123199999,2,"B6","mix17_AA",2,0.403999999,0.467549995,0.545349985,0.619000018,11238.8299141542,"Scramble miRNAs"
"miARNs aléatoires",1,1,"B2","mix17AA","ath827",2,0.124200001,2,"C3","mix17_AA",2,0.363199994,0.419650003,0.492400005,0.560249984,9673.67197516003,"Scramble miRNAs"
"miARNs aléatoires",1,2,"A3","mix17AA","ath827",2,0.169499993,2,"C5","mix17_AA",2,0.372099996,0.431250006,0.505550012,0.575599998,10015.091266343,"Scramble miRNAs"
"miARNs aléatoires",1,3,"B6","mix17AA","ath827",2,0.122000001,2,"C7","mix17_AA",2,0.409850001,0.475600004,0.558349997,0.636050016,11463.2459913932,"Scramble miRNAs"
"miARNs aléatoires",1,4,"D3","mix17AA","ath827",2,0.131899998,2,"C9","mix17_AA",2,0.373450011,0.432999998,0.508249998,0.578099996,10066.88014958,"Scramble miRNAs"
"miARNs aléatoires",1,5,"D5","mix17AA","ath827",2,0.156800002,2,"C11","mix17_AA",2,0.428149998,0.494650006,0.580150008,0.659999996,12165.2651599722,"Scramble miRNAs"
"miARNs aléatoires",12,1,"B2","mix17AA","ath827",2,0.270099998,2,"F3","mix17_AA",2,0.258749992,0.29795,0.347050011,0.392000005,5666.79134222251,"Scramble miRNAs"
"miARNs aléatoires",12,2,"A3","mix17AA","ath827",2,0.305799991,2,"F6","mix17_AA",2,0.243349999,0.280400008,0.325049996,0.3662,5076.02128461089,"Scramble miRNAs"
"miARNs aléatoires",12,3,"B6","mix17AA","ath827",2,0.268400013,2,"F9","mix17_AA",2,0.284649998,0.328250006,0.381549999,0.430199996,6660.3598481797,"Scramble miRNAs"
"miARNs aléatoires",12,4,"D3","mix17AA","ath827",2,0.263700008,2,"G3","mix17_AA",2,0.258599997,0.297600001,0.34725,0.393450007,5661.03727760758,"Scramble miRNAs"
"miARNs aléatoires",12,5,"D5","mix17AA","ath827",2,0.246299997,2,"G6","mix17_AA",2,0.244849995,0.282200009,0.32965,0.373400003,5133.56369539882,"Scramble miRNAs"
"miARNs aléatoires",4,1,"B2","mix17AA","ath827",2,0.234500006,2,"E3","mix17_AA",2,0.323200002,0.372150004,0.434049994,0.491250008,8139.20390245998,"Scramble miRNAs"
"miARNs aléatoires",4,2,"A3","mix17AA","ath827",2,0.292199999,2,"E5","mix17_AA",2,0.3609,0.416149989,0.486650005,0.550199986,9585.44027350364,"Scramble miRNAs"
"miARNs aléatoires",4,3,"B6","mix17AA","ath827",2,0.213400006,2,"E7","mix17_AA",2,0.483199999,0.53685002,0.600699991,0.658749998,9746.559,"Scramble miRNAs"
"miARNs aléatoires",4,4,"D3","mix17AA","ath827",2,0.236399993,2,"E9","mix17_AA",2,0.338499993,0.391249999,0.457100004,0.517850012,8726.1377123992,"Scramble miRNAs"
"miARNs aléatoires",4,5,"D5","mix17AA","ath827",2,0.2289,2,"E11","mix17_AA",2,0.349799991,0.404400006,0.473200008,0.536449999,9159.624952911,"Scramble miRNAs"
